Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Non Taxable,ACT,2600,"1,023",991,"11,112,598",277,"509,577",9,"15,090",1,"1,012",0,0,0,0,0,0,405,"4,338,465",334,"600,011",88,"224,444",3,"26,172",1,"5,875",51,"389,815",88,"936,884",9,"67,789",130,"2,372,179",702,"1,340,572",119,"56,457",342,"1,226,487",341,"522,350","1,002","12,656,277"
Non Taxable,ACT,2601,971,924,"8,433,619",126,"127,817",5,"4,506",0,0,0,0,0,0,0,0,662,"6,063,901",588,"647,126",69,"114,094",2,"29,251",1,"1,833",114,"753,179",15,"152,592",3,"5,558",29,"523,529",574,"384,963",27,"20,004",70,"159,286",70,"67,916",924,"8,826,706"
Non Taxable,ACT,2602,"4,034","3,904","47,209,582",953,"1,116,312",15,"11,475",0,0,0,0,0,0,2,"4,595","2,282","23,532,163","2,017","2,814,453",350,"632,859",10,"65,561",13,"31,383",444,"3,483,145",421,"4,545,970",43,"246,819",391,"7,252,033","2,404","2,682,890",282,"113,053",862,"1,700,107",861,"724,882","3,912","50,054,366"
Non Taxable,ACT,2603,"1,033",983,"11,225,453",251,"303,684",6,"3,579",0,0,0,0,0,0,2,"14,349",449,"4,565,406",374,"581,365",76,"327,846",1,"1,391",2,"21,466",58,"465,469",72,"945,813",12,"27,063",106,"2,008,172",665,"1,302,103",91,"29,431",301,"909,047",300,"389,065",997,"13,385,732"
Non Taxable,ACT,2604,"1,188","1,135","14,090,650",297,"498,559",12,"11,683",2,"2,165",0,0,0,0,0,0,599,"6,568,227",518,"811,123",95,"122,402",2,"18,177",3,"4,180",110,"889,118",134,"1,546,844",9,"35,395",116,"2,007,117",691,"890,118",89,"33,409",295,"493,955",294,"211,243","1,152","15,200,174"
Non Taxable,ACT,2605,"1,413","1,368","17,130,583",351,"590,306",11,"11,950",0,0,0,0,0,0,0,0,640,"7,074,497",548,"804,286",136,"152,497",4,"23,079",0,0,105,"833,176",174,"1,690,424",18,"107,533",206,"3,725,772",934,"1,444,728",165,"71,093",465,"1,284,885",465,"539,300","1,379","19,331,766"
Non Taxable,ACT,2606,"1,239","1,194","14,021,612",311,"338,789",4,"2,985",0,0,0,0,0,0,0,0,651,"7,109,626",562,"829,616",107,"267,078",2,"3,469",3,"1,736",120,"1,053,003",187,"1,856,618",8,"40,684",123,"2,148,623",690,"975,960",118,"56,451",300,"653,995",302,"278,677","1,201","15,836,331"
Non Taxable,ACT,2607,"1,828","1,773","20,928,808",469,"601,861",9,"4,891",1,861,0,0,0,0,1,"2,885",830,"9,178,899",725,"1,025,333",149,"314,708",4,"19,237",3,"5,239",122,"842,239",242,"2,480,768",26,"157,264",246,"4,495,372","1,121","1,475,685",182,"58,208",582,"1,365,022",582,"577,911","1,785","22,493,377"
Non Taxable,ACT,2608,19,19,"146,489",4,"3,696",0,0,0,0,0,0,0,0,0,0,5,"37,761",5,"3,871",1,"8,400",0,0,0,0,2,"25,344",4,"50,448",0,0,1,"5,032",8,"16,897",4,"1,856",9,"6,830",9,"2,925",19,"149,492"
Non Taxable,ACT,2609,103,97,"1,415,742",35,"34,615",0,0,0,0,0,0,0,0,0,0,55,"543,652",49,"60,738",13,"49,991",1,"1,490",1,"2,699",30,"251,109",19,"252,497",0,0,8,"155,893",42,"45,254",4,304,11,"4,264",11,"1,821",99,"1,663,223"
