Postcode,Installation,Output
0,1,0.98
200,1,0.08
800,0,0
801,2,3.44
803,0,0
804,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
820,0,0
821,0,0
822,1,4.8
828,1,4.8
829,0,0
830,0,0
831,1,5.12
832,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
845,0,0
846,0,0
847,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
860,0,0
861,7,13.68
862,0,0
870,0,0
871,7,12.75
872,1,0.8
873,0,0
874,0,0
875,0,0
880,0,0
881,2,5.75
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,0,0
2007,0,0
2008,0,0
2009,0,0
2010,1,1.5
2011,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,0,0
2022,0,0
2023,0,0
2024,1,1.5
2025,0,0
2026,0,0
2027,0,0
2028,0,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,0,0
2034,1,0.08
2035,0,0
2036,0,0
2037,0,0
2038,0,0
2039,0,0
2040,0,0
2041,0,0
2042,0,0
2043,0,0
2044,0,0
2045,0,0
2046,0,0
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2055,0,0
2057,0,0
2059,0,0
2060,0,0
2061,0,0
2062,0,0
2063,0,0
2064,0,0
2065,0,0
2066,1,1.26
2067,0,0
2068,0,0
2069,0,0
2070,0,0
2071,0,0
2072,0,0
2073,0,0
2074,0,0
2075,0,0
2076,0,0
2077,1,0.84
2079,0,0
2080,1,0.24
2081,0,0
2082,2,1.56
2083,1,0.4
2084,1,4.2
2085,0,0
2086,1,2.04
2087,0,0
2088,0,0
2089,0,0
2090,0,0
2092,0,0
2093,0,0
2094,0,0
2095,0,0
2096,2,3.2
2097,0,0
2099,0,0
2100,0,0
2101,1,2.38
2102,0,0
2103,0,0
2104,1,0.16
2105,0,0
2106,0,0
2107,0,0
2108,0,0
2109,0,0
2110,0,0
2111,0,0
2112,0,0
2113,0,0
2114,0,0
2115,0,0
2116,0,0
2117,0,0
2118,0,0
2119,0,0
2120,1,0.125
2121,0,0
2122,1,1.25
2123,0,0
2124,0,0
2125,2,2.56
2126,0,0
2127,0,0
2128,0,0
2130,0,0
2131,0,0
2132,0,0
2133,0,0
2134,0,0
2135,0,0
2136,0,0
2137,0,0
2138,0,0
2140,1,1.92
2141,0,0
2142,0,0
2143,0,0
2144,0,0
2145,0,0
2146,0,0
2147,0,0
2148,1,2.4
2150,0,0
2151,0,0
2152,0,0
2153,1,1.5
2154,0,0
2155,0,0
2156,0,0
2157,0,0
2158,0,0
2159,0,0
2160,0,0
2161,0,0
2162,0,0
2163,0,0
2164,0,0
2165,0,0
2166,0,0
2167,0,0
2168,0,0
2170,0,0
2171,0,0
2172,0,0
2173,0,0
2174,0,0
2175,0,0
2176,0,0
2177,0,0
2178,0,0
2179,0,0
2190,0,0
2191,0,0
2192,0,0
2193,0,0
2194,0,0
2195,0,0
2196,0,0
2197,0,0
2198,0,0
2199,0,0
2200,2,3
2203,0,0
2204,0,0
2205,0,0
2206,0,0
2207,0,0
2208,0,0
2209,0,0
2210,0,0
2211,0,0
2212,0,0
2213,0,0
2214,0,0
2216,0,0
2217,0,0
2218,0,0
2219,1,0.13
2220,0,0
2221,0,0
2222,0,0
2223,0,0
2224,0,0
2225,0,0
