Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,AVG,Total
0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,4.0
200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0
800.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,12.0,6.0,4.0,6.0,5.0,11.0,40.0,11.0,3.0,5.190476190476191,109.0
801.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.38095238095238093,8.0
803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09523809523809523,2.0
804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.7142857142857143,15.0
810.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,35.0,127.0,46.0,62.0,159.0,171.0,225.0,366.0,394.0,400.0,679.0,547.0,77.0,156.85714285714286,3294.0
811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,2.0
812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,62.0,31.0,35.0,103.0,71.0,122.0,126.0,195.0,246.0,391.0,358.0,42.0,86.23809523809524,1811.0
813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,7.0
814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19047619047619047,4.0
820.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0,14.0,20.0,43.0,46.0,54.0,90.0,126.0,157.0,243.0,249.0,38.0,52.23809523809524,1097.0
821.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,7.0
822.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,7.0,12.0,21.0,19.0,17.0,21.0,35.0,45.0,82.0,102.0,134.0,178.0,177.0,22.0,41.904761904761905,880.0
828.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,7.0,9.0,25.0,32.0,28.0,54.0,54.0,22.0,11.476190476190476,241.0
829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,3.0,4.0,7.0,8.0,2.0,1.7142857142857142,36.0
830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,61.0,53.0,52.0,101.0,96.0,91.0,166.0,180.0,288.0,444.0,333.0,44.0,92.47619047619048,1942.0
831.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,9.0
832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,35.0,32.0,38.0,90.0,69.0,74.0,252.0,320.0,406.0,514.0,363.0,51.0,107.38095238095238,2255.0
834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,16.0,15.0,16.0,32.0,34.0,47.0,48.0,9.0,11.142857142857142,234.0
835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,26.0,17.0,22.0,34.0,24.0,27.0,29.0,50.0,59.0,86.0,99.0,12.0,23.476190476190474,493.0
836.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,16.0,33.0,21.0,48.0,67.0,87.0,48.0,82.0,105.0,178.0,255.0,193.0,30.0,55.666666666666664,1169.0
837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,5.0,0.0,9.0,5.0,9.0,11.0,12.0,2.0,2.9523809523809526,62.0
838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,3.0,5.0,9.0,5.0,7.0,12.0,13.0,27.0,25.0,3.0,5.714285714285714,120.0
839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,6.0,1.0,1.0476190476190477,22.0
840.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,6.0,5.0,19.0,12.0,12.0,29.0,15.0,3.0,5.333333333333333,112.0
841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,4.0,6.0,10.0,10.0,18.0,14.0,0.0,3.238095238095238,68.0
845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,8.0,9.0,8.0,8.0,3.0,9.0,5.0,8.0,2.0,3.4285714285714284,72.0
846.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,6.0,9.0,5.0,3.0,6.0,3.0,2.0,2.142857142857143,45.0
847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,9.0,0.0,1.0,21.0
850.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,9.0,15.0,11.0,1.0,31.0,63.0,103.0,74.0,40.0,66.0,106.0,250.0,27.0,38.142857142857146,801.0
851.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,2.0,5.0,7.0,8.0,9.0,0.0,1.0,0.0,1.0,0.0,2.1904761904761907,46.0
852.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,9.0,3.0,4.0,1.0,5.0,8.0,5.0,1.0,14.0,9.0,16.0,27.0,35.0,2.0,7.238095238095238,152.0
853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0
854.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.6666666666666666,14.0
860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,20.0,14.0,29.0,19.0,0.0,0.0,24.0,10.0,2.0,5.809523809523809,122.0
