Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,AVG,Total
0.0,0.0,2.58,0.0,0.98,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2123809523809524,4.46
200.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038095238095238095,0.08
800.0,0.0,0.0,0.0,0.0,0.16,0.0,19.2,15.38,0.0,0.0,5.26,58.005,48.33,41.045,133.49,208.07,281.89,527.74,682.48,526.04,48.49,123.59904761904761,2595.58
801.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,6.0,66.708,24.84,31.86,0.0,99.99,0.0,11.183714285714286,234.858
803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,5.565,0.0,0.0,0.0,0.0,0.5564285714285715,11.685
804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,6.02,14.08,0.0,10.595,4.77,0.0,4.59,21.725,0.0,9.36,0.0,3.72904761904762,78.31000000000002
810.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,8.25,47.31,190.658,166.39,242.19,770.127,951.66,1105.465,2193.606,2740.676,2876.639,5078.405,4186.715,661.14,1010.4450476190475,21219.345999999998
811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,9.0
812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,48.69,105.399,91.475,139.51,497.885,298.522,622.83,733.806,1334.257,1757.254,2732.18,2405.727,344.49,529.1911904761905,11113.015000000001
813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064,0.0,0.0,9.585,59.8,4.5,3.0,0.0,0.0,0.0,6.6,0.0,4.073761904761904,85.54899999999998
814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,0.0,3.9,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.18,0.8685714285714287,18.240000000000002
820.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,2.34,25.95,40.39,89.365,244.26,463.975,886.275,1099.667,1497.383,1773.789,2092.685,2736.415,489.27,544.8573333333334,11442.004
821.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,7.26,0.0,0.0,0.0,0.0,0.0,9.88,0.0,104.313,0.0,15.95,9.3,0.0,0.0,7.443,156.303
822.0,0.0,0.0,18.9,4.8,0.0,10.4,18.9,21.6,82.825,114.891,167.486,119.024,133.5,207.695,493.345,1064.033,1505.306,1478.312,1981.337,1630.03,187.79,440.00828571428576,9240.174
828.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,1.02,0.0,9.88,15.12,72.79,196.61,181.86,275.81,447.996,498.995,640.375,882.705,274.28,166.77338095238096,3502.241
829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.95,4.5,201.59,102.85,128.545,265.79,154.155,18.5,42.42285714285714,890.8799999999999
830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.19,40.3,99.003,132.715,193.025,411.68,419.26,796.81,858.309,1106.699,2093.058,3226.205,2585.125,342.745,586.6249523809524,12319.124000000002
831.0,0.0,0.0,0.0,5.12,6.4,0.0,0.0,0.0,0.0,3.15,3.24,0.0,3.92,0.0,4.5,6.095,0.0,6.555,0.0,0.0,0.0,1.856190476190476,38.98
