Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021
0,0.0,0.0,2.0,2.58,0.0,0.0,1.0,0.98,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.0,2.0,19.2,4.0,15.38,0.0,0.0,0.0,0.0,2.0,5.26,2.0,58.005,12.0,48.33,6.0,41.045,4.0,133.49,6.0,208.07,5.0,281.89,11.0,527.74,40.0,682.48,11,526.04,3,48.49
801,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,66.708,1.0,24.84,1.0,31.86,0.0,0.0,1,99.99,0,0.0
803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.12,0.0,0.0,1.0,5.565,0.0,0.0,0.0,0.0,0,0.0,0,0.0
804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.17,1.0,6.02,3.0,14.08,0.0,0.0,2.0,10.595,1.0,4.77,0.0,0.0,1.0,4.59,2.0,21.725,0.0,0.0,1,9.36,0,0.0
810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.115,0.0,0.0,0.0,0.0,5.0,8.25,35.0,47.31,127.0,190.658,46.0,166.39,62.0,242.19,159.0,770.127,171.0,951.66,225.0,1105.465,366.0,2193.606,394.0,2740.676,400.0,2876.639,679.0,5078.405,547,4186.715,77,661.14
811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,28.0,48.69,62.0,105.399,31.0,91.475,35.0,139.51,103.0,497.885,71.0,298.522,122.0,622.83,126.0,733.806,195.0,1334.257,246.0,1757.254,391.0,2732.18,358,2405.727,42,344.49
813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.064,0.0,0.0,0.0,0.0,2.0,9.585,1.0,59.8,1.0,4.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.6,0,0.0
814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.16,0.0,0.0,1.0,3.9,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,5.18
820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.34,14.0,25.95,14.0,40.39,20.0,89.365,43.0,244.26,46.0,463.975,54.0,886.275,90.0,1099.667,126.0,1497.383,157.0,1773.789,243.0,2092.685,249,2736.415,38,489.27
821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.6,0.0,0.0,1.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.88,0.0,0.0,2.0,104.313,0.0,0.0,1.0,15.95,1.0,9.3,0,0.0,0,0.0
822,0.0,0.0,0.0,0.0,3.0,18.9,1.0,4.8,0.0,0.0,1.0,10.4,3.0,18.9,7.0,21.6,12.0,82.825,21.0,114.891,19.0,167.486,17.0,119.024,21.0,133.5,35.0,207.695,45.0,493.345,82.0,1064.033,102.0,1505.306,134.0,1478.312,178.0,1981.337,177,1630.03,22,187.79
