postcode,installations,output
0,4,4.46
200,1,0.08
800,109,2595.58
801,8,234.858
803,2,11.685
804,15,78.31
810,3294,21219.346
811,2,9
812,1811,11113.015
813,7,85.549
814,4,18.24
820,1097,11442.004
821,7,156.303
822,880,9240.174
828,241,3502.241
829,36,890.88
830,1942,12319.124
831,9,38.98
832,2255,13486.134
834,234,1703.882
835,493,3265.188
836,1169,8048.071
837,62,593.011
838,120,945.402
839,22,431.125
840,112,690.005
841,68,724.58
845,72,599.136
846,45,304.995
847,21,265.305
850,801,6357.314
851,46,325.375
852,152,1899.72
853,1,2.65
854,14,189.195
860,122,736.499
861,21,121.595
862,33,366.59
870,2553,15917.896
871,57,407.38
872,185,2257.817
873,133,994.439
874,18,140.85
875,128,820.836
880,23,239.201
881,12,107.73
885,13,598.6
886,10,151.69
1340,1,1.14
1355,1,1.02
1435,1,1.54
1460,1,4.75
1470,2,5.81
1475,3,11.985
1480,2,4.88
1485,1,2
1490,1,1.51
1495,2,11.23
1560,1,5.025
1570,2,11.15
1595,3,11.7
1630,7,33.785
1640,2,15.075
1655,3,17.845
1658,1,5.04
1660,2,13.1
1670,1,4.44
1680,2,9.38
1685,1,4.8
1710,1,4.8
1715,2,3.01
1730,4,13.49
1741,1,10
1755,2,5.1
1765,8,25.8
1790,4,115.9
1800,1,4.2
1805,2,14.72
1830,1,6.08
1835,1,1.14
1848,1,1.04
1860,3,25.42
1871,1,1.52
1875,1,1.61
1885,5,13.29
1890,5,18.04
2000,51,1288.986
2007,28,357.18
2008,82,725.594
2009,17,348.48
2010,180,1231.949
2011,44,535.919
2015,241,3467.992
2016,132,759.354
2017,73,987.095
2018,389,2119.622
2019,375,3485.67
2020,363,2571.467
2021,227,1314.471
2022,279,1458.164
2023,247,1778.525
2024,384,2419.738
2025,130,702.41
2026,571,2847.71
2027,78,542.764
2028,63,496.01
2029,178,1108.594
2030,435,2869.992
2031,700,3881.362
2032,371,1812.03
2033,203,1254.297
2034,470,2392.226
2035,1137,5745.391
2036,1200,6337.605
2037,279,1344.72
2038,349,1459.154
2039,254,1127.176
2040,841,4052.66
2041,474,1872.608
2042,523,2257.805
2043,134,657.414
2044,398,2181.449
2045,287,1999.971
2046,898,5033.815
2047,277,1348.403
2048,228,1219.824
2049,344,1622.133
2050,159,1308.536
2055,1,2.4
2057,19,116.855
2059,3,43.36
2060,200,1293.02
2061,21,144.165
2062,158,758.829
2063,397,2432.103
2064,268,2445.521
2065,648,3330.667
2066,1283,7286.62
2067,645,3253.791
2068,893,4815.806
2069,742,4258.094
2070,687,3920.482
2071,614,3676.071
2072,270,1724.257
2073,829,4897.671
2074,1257,6830.192
2075,1065,6417.019
2076,1208,6843.599
2077,1561,8316.696
2079,537,2542.787
2080,161,1145.7
2081,557,2309.937
2082,598,2782.765
2083,198,977.327
2084,310,2157.547
2085,927,4741.97
2086,928,4624.221
2087,893,4392.006
2088,816,5022.102
2089,102,657.066
2090,209,1024.801
2092,431,2556.564
2093,1077,5869.102
2094,175,798.455
2095,326,1828.349
2096,594,2865.151
2097,833,3868.26
2099,1567,7819.351
2100,1323,8022.654
2101,904,4538.787
2102,519,2724.711
2103,575,3647.739
2104,216,1336.135
2105,114,617.153
2106,398,1965.044
2107,777,4114.627
2108,112,575.46
2109,1,21.12
2110,414,2222.418
2111,636,3504.445
2112,1339,6896.121
2113,934,6275.85
2114,914,4471.686
2115,529,2630.057
2116,326,2689.008
2117,970,4875.647
2118,1592,6862.808
2119,715,3517.525
2120,1277,7399.527
