postcode,installations,output,suburb_id,suburb,state,long,lat
200,1,0.08,230,ANU,ACT,149.119,-35.2777
200,1,0.08,21820,Australian National University,ACT,149.1189,-35.2777
800,109,2595.58,232,DARWIN,NT,130.83668,-12.458684
801,8,234.858,233,DARWIN,NT,130.83668,-12.458684
804,15,78.31,234,PARAP,NT,130.873315,-12.428017
810,3294,21219.346,235,ALAWA,NT,130.866242,-12.381806
810,3294,21219.346,236,BRINKIN,NT,130.866242,-12.381806
810,3294,21219.346,237,CASUARINA,NT,130.866242,-12.381806
810,3294,21219.346,19972,COCONUT GROVE,NT,130.8502369,-12.39614166
810,3294,21219.346,239,JINGILI,NT,130.866242,-12.381806
810,3294,21219.346,240,LEE POINT,NT,130.866242,-12.381806
810,3294,21219.346,19973,LYONS,NT,130.88851509999998,-12.35911956
810,3294,21219.346,241,MILLNER,NT,130.866242,-12.381806
810,3294,21219.346,242,MOIL,NT,130.866242,-12.381806
810,3294,21219.346,19974,MUIRHEAD,NT,130.8959029,-12.35811947
810,3294,21219.346,243,NAKARA,NT,130.866242,-12.381806
810,3294,21219.346,244,NIGHTCLIFF,NT,130.866242,-12.381806
810,3294,21219.346,245,RAPID CREEK,NT,130.866242,-12.381806
810,3294,21219.346,246,TIWI,NT,130.866242,-12.381806
810,3294,21219.346,247,WAGAMAN,NT,130.866242,-12.381806
810,3294,21219.346,248,WANGURI,NT,130.866242,-12.381806
811,2,9.0,249,CASUARINA,NT,130.866242,-12.381806
812,1811,11113.015,19975,ANULA,NT,130.89047,-12.39124885
812,1811,11113.015,19976,BUFFALO CREEK,NT,130.9209831,-12.34638634
812,1811,11113.015,19977,HOLMES,NT,130.9268602,-12.38479951
812,1811,11113.015,251,KARAMA,NT,130.916098,-12.404778
812,1811,11113.015,252,LEANYER,NT,130.916098,-12.404778
812,1811,11113.015,253,MALAK,NT,130.916098,-12.404778
812,1811,11113.015,254,MARRARA,NT,130.916098,-12.404778
812,1811,11113.015,255,NORTHLAKES,NT,130.916098,-12.404778
812,1811,11113.015,256,SANDERSON,NT,130.916098,-12.404778
812,1811,11113.015,257,WOODLEIGH GARDENS,NT,130.916098,-12.404778
