Postcode,Average_total,Average_salary
800,98643,88445
801,120690,85064
804,108716,89647
810,94079,78351
811,119181,90769
812,91317,77295
813,95978,74204
814,101270,75812
820,109705,86091
821,113869,73432
822,81500,67159
828,87373,70250
829,82589,73661
830,94593,82383
831,97750,84868
832,97250,89353
834,96174,77691
835,101751,82973
836,99001,82926
837,92703,68587
838,92807,80652
839,98147,86208
840,84659,62846
841,100727,86293
845,83043,67935
846,76781,63658
847,67853,51948
850,83782,71692
851,86348,70225
852,71843,59566
853,90739,88442
854,74304,58738
860,85969,76141
861,87298,74993
862,70916,59386
870,88565,75039
871,95881,73400
872,74262,60229
873,86408,75717
874,92499,87012
875,83007,74043
880,94938,85093
881,97973,92747
885,112850,107471
886,94576,88393
1225,341972,91799
1230,126868,62722
1235,100014,75382
1240,79686,43141
1335,195177,73854
1355,102878,58022
1360,259510,70387
1455,92020,63828
1460,122823,79266
1485,85162,58570
1495,121644,76824
1499,86801,64535
1585,122939,86542
1595,102873,74003
1655,137084,54128
1660,92648,49255
1710,104403,60351
1750,99145,75284
1755,112569,68133
1765,114607,72662
1871,70563,58692
1885,80534,54402
2000,115528,72521
2001,145294,79465
2002,89110,65823
2006,111498,91610
2007,77496,66082
2008,104392,73445
2009,121071,86393
2010,120369,90251
2011,144112,89791
2012,113839,75294
2013,113691,93766
2014,118615,85158
2015,107060,89523
2016,106810,83681
2017,96234,82176
2018,90723,70955
2019,95023,79758
2020,84102,72390
2021,176241,106864
2022,133640,85853
2023,256741,93464
2024,174712,98625
2025,224704,95596
2026,139097,90869
2027,268520,92581
2028,312372,87312
2029,163411,82462
2030,255857,92780
2031,129448,89428
2032,99197,71999
2033,108420,76950
2034,132806,91358
2035,112067,77166
2036,99808,75738
2037,118400,86624
2038,130243,94359
2039,142565,103798
2040,123665,94985
2041,170228,109050
2042,104194,82283
2043,110700,93323
2044,94739,79849
2045,136966,86169
2046,121484,84662
2047,134998,89328
2048,110235,85106
2049,104846,83964
2050,110201,91851
2052,72992,55289
2057,120008,91349
2059,160454,79036
2060,157570,95865
2061,183534,105379
2062,148593,100049
2063,231331,107343
2064,122418,89324
2065,135585,96318
2066,142107,95722
2067,111529,79269
2068,168061,103594
2069,174044,97932
2070,161338,92391
2071,161543,88661
2072,142541,89171
2073,155261,95636
2074,154720,91325
2075,138363,88958
2076,138776,87407
2077,91832,75526
2079,95981,78024
2080,95599,73236
2081,98872,79812
2082,99412,77644
2083,95968,70533
2084,143623,75799
2085,115019,81347
2086,114892,85450
2087,124089,85992
2088,238543,111280
2089,144011,96046
2090,167934,102113
2092,196116,103217
2093,151715,97958
2094,147916,95356
2095,172695,97603
2096,135616,92512
2097,116890,78358
2098,98728,62168
2099,101191,74353
2100,107690,78950
2101,111201,71806
2102,111455,78638
2103,111440,71802
2104,155797,69676
2105,156244,71759
2106,138457,72313
2107,133191,71497
2108,221188,59774
2110,254567,96839
2111,128187,85035
2112,101957,75744
2113,100378,80671
2114,93616,74439
2115,88028,71383
2116,84626,70071
2117,89855,67158
2118,89280,68649
2119,132008,85098
2120,106446,82961
2121,103914,76705
2122,90882,69199
2123,89563,61505
2124,90059,52523
2125,120397,85016
2126,105379,83951
2127,90961,78512
2128,75997,60614
2129,95769,64141
2130,104489,82641
2131,84907,68062
2132,97216,72581
2133,89295,69414
2134,82630,61784
2135,103096,65958
2136,89074,68200
2137,114038,79090
2138,93483,76841
2140,77688,66812
2141,72427,58665
2142,71457,59725
2143,75219,60152
2144,64038,50115
2145,84330,71377
2146,81461,69696
2147,82887,69530
2148,75873,64427
2149,84318,59066
2150,81200,72199
2151,90623,71772
2152,91979,73836
2153,99812,79159
2154,108182,79870
2155,99460,83671
2156,131544,72598
2157,104954,64995
2158,153350,73877
2159,111049,70634
2160,74362,57968
2161,72911,56554
2162,74532,58454
2163,68161,54008
2164,79163,61395
2165,72698,57996
2166,72330,58463
2167,80165,70165
2168,73828,62215
2170,79534,65142
2171,84386,69897
2172,101663,82875
2173,87627,76780
2174,86525,77149
2175,105381,58191
2176,80781,62978
2177,75658,63025
2178,94364,57370
2179,86390,62849
2190,76551,58096
2191,83011,63593
2192,74790,59567
2193,88095,70504
2194,69188,56746
2195,67069,53067
2196,74712,58859
2197,85239,61173
2198,82497,63752
2199,76181,60653
2200,74448,58590
2203,99482,79982
2204,93545,75872
2205,85735,69474
2206,97702,69742
2207,88098,67671
2208,89591,66293
2209,83071,64979
2210,88016,67111
2211,84990,68190
2212,83885,68645
2213,89423,71901
2214,116396,69379
2216,80933,64847
2217,86424,67485
2218,78784,65059
2219,103173,68812
2220,75058,59926
2221,110726,69499
2222,82549,67191
2223,102847,76032
2224,111378,67315
2225,113807,84629
2226,103531,80661
2227,103752,80562
2228,99948,71769
2229,113245,76585
2230,122802,76189
2231,95892,72937
2232,95510,75479
2233,92104,74967
2234,98982,76641
2250,85783,64198
2251,96180,65408
2256,85762,62825
2257,84467,61298
2258,90442,66901
2259,80613,64252
2260,106266,68032
2261,80128,61967
2262,76018,61563
2263,76576,57932
2264,82435,60828
2265,83209,64693
2267,87511,63294
2278,78091,66277
2280,90416,67069
2281,86713,66078
2282,95241,69950
2283,88105,64012
2284,84067,66167
2285,81044,68076
2286,79088,64980
2287,82824,68241
2289,90481,70385
2290,88114,66969
2291,122770,73678
2292,83251,67930
2293,87384,69801
2294,85486,69938
2295,89076,69921
2296,84975,69954
2297,85941,69891
2298,81232,65846
2299,83006,65792
2300,125517,71761
2302,94339,71643
2303,101420,69067
2304,79553,65068
2305,99599,72611
2306,66148,53930
2307,73005,60618
2308,54885,44698
2311,80919,57736
