Postcode_from,Postcode_to,Zone,Rating
0,799,3,1.382
800,853,2,1.536
854,854,3,1.382
855,861,2,1.536
862,862,3,1.382
863,869,2,1.536
870,879,1,1.622
880,885,3,1.382
886,1000,2,1.536
1001,2355,3,1.382
2356,2357,2,1.536
2358,2384,3,1.382
2385,2389,2,1.536
2390,2395,3,1.382
2396,2397,2,1.536
2398,2399,3,1.382
2400,2400,2,1.536
2401,2404,3,1.382
2405,2407,2,1.536
2408,2544,3,1.382
2545,2554,4,1.185
2555,2627,3,1.382
2628,2628,4,1.185
2629,2629,3,1.382
2630,2639,4,1.185
2640,2816,3,1.382
2817,2817,2,1.536
2818,2820,3,1.382
2821,2829,2,1.536
2830,2830,3,1.382
2831,2841,2,1.536
2842,2872,3,1.382
2873,2873,2,1.536
2874,2877,3,1.382
2878,2889,2,1.536
2890,2999,3,1.382
3000,3035,4,1.185
3036,3038,3,1.382
3039,3044,4,1.185
3045,3045,3,1.382
3046,3046,4,1.185
3047,3049,3,1.382
3050,3058,4,1.185
3059,3059,3,1.382
3060,3060,4,1.185
3061,3064,3,1.382
3065,3074,4,1.185
3075,3076,3,1.382
3077,3098,4,1.185
3099,3099,3,1.382
3100,3292,4,1.185
3293,3302,3,1.382
3303,3308,4,1.185
3309,3319,3,1.382
3320,3333,4,1.185
3334,3337,3,1.382
3338,3339,4,1.185
3340,3758,3,1.382
3759,3760,4,1.185
3761,3764,3,1.382
3765,3999,4,1.185
4000,4416,3,1.382
4417,4417,2,1.536
4418,4427,3,1.382
4428,4473,2,1.536
4474,4476,1,1.622
4477,4478,2,1.536
4479,4485,1,1.622
4486,4491,2,1.536
4492,4492,1,1.622
4493,4493,2,1.536
4494,4494,3,1.382
4495,4497,2,1.536
4498,4719,3,1.382
4720,4722,2,1.536
4723,4723,3,1.382
4724,4734,2,1.536
4735,4736,1,1.622
4737,4822,3,1.382
4823,4823,2,1.536
4824,4824,3,1.382
4825,4827,2,1.536
4828,4828,3,1.382
4829,4829,1,1.622
4830,5431,3,1.382
5432,5450,2,1.536
5451,5654,3,1.382
5655,5669,2,1.536
5670,5679,3,1.382
5680,5699,2,1.536
5700,5709,3,1.382
5710,5722,2,1.536
5723,5724,1,1.622
5725,5730,2,1.536
5731,5731,1,1.622
5732,5732,2,1.536
5733,5799,1,1.622
5800,6043,3,1.382
6044,6044,2,1.536
6045,6256,3,1.382
6257,6270,4,1.185
6271,6316,3,1.382
6317,6349,4,1.185
6350,6353,3,1.382
6354,6356,4,1.185
6357,6394,3,1.382
6395,6400,4,1.185
6401,6430,3,1.382
6431,6431,2,1.536
6432,6433,3,1.382
6434,6440,2,1.536
6441,6441,1,1.622
6442,6444,3,1.382
6445,6459,4,1.185
6460,6467,3,1.382
6468,6469,2,1.536
6470,6471,3,1.382
6472,6472,2,1.536
6473,6506,3,1.382
6507,6508,2,1.536
6509,6509,3,1.382
6510,6536,2,1.536
6537,6537,1,1.622
6538,6555,2,1.536
6556,6573,3,1.382
6574,6602,2,1.536
6603,6607,3,1.382
6608,6641,2,1.536
6642,6724,1,1.622
6725,6750,2,1.536
6751,6764,1,1.622
6765,6765,2,1.536
6766,6797,1,1.622
6798,6799,2,1.536
6800,6999,3,1.382
7000,8999,4,1.185
9000,9999,3,1.382
