postcode,zone,rating,annual_prod,rebate
200,3.0,1.382,9.1,3185.0
800,2.0,1.536,10.1,3535.0
801,2.0,1.536,10.1,3535.0
804,2.0,1.536,10.1,3535.0
810,2.0,1.536,10.1,3535.0
811,2.0,1.536,10.1,3535.0
812,2.0,1.536,10.1,3535.0
813,2.0,1.536,10.1,3535.0
814,2.0,1.536,10.1,3535.0
815,2.0,1.536,10.1,3535.0
820,2.0,1.536,10.1,3535.0
821,2.0,1.536,10.1,3535.0
822,2.0,1.536,10.1,3535.0
828,2.0,1.536,10.1,3535.0
829,2.0,1.536,10.1,3535.0
830,2.0,1.536,10.1,3535.0
831,2.0,1.536,10.1,3535.0
832,2.0,1.536,10.1,3535.0
834,2.0,1.536,10.1,3535.0
835,2.0,1.536,10.1,3535.0
836,2.0,1.536,10.1,3535.0
837,2.0,1.536,10.1,3535.0
838,2.0,1.536,10.1,3535.0
839,2.0,1.536,10.1,3535.0
840,2.0,1.536,10.1,3535.0
841,2.0,1.536,10.1,3535.0
845,2.0,1.536,10.1,3535.0
846,2.0,1.536,10.1,3535.0
847,2.0,1.536,10.1,3535.0
850,2.0,1.536,10.1,3535.0
851,2.0,1.536,10.1,3535.0
852,2.0,1.536,10.1,3535.0
853,2.0,1.536,10.1,3535.0
854,3.0,1.382,9.1,3185.0
860,2.0,1.536,10.1,3535.0
861,2.0,1.536,10.1,3535.0
862,3.0,1.382,9.1,3185.0
870,1.0,1.6219999999999999,10.7,3745.0
871,1.0,1.6219999999999999,10.7,3745.0
872,1.0,1.6219999999999999,10.7,3745.0
873,1.0,1.6219999999999999,10.7,3745.0
874,1.0,1.6219999999999999,10.7,3745.0
875,1.0,1.6219999999999999,10.7,3745.0
880,3.0,1.382,9.1,3185.0
881,3.0,1.382,9.1,3185.0
885,3.0,1.382,9.1,3185.0
886,2.0,1.536,10.1,3535.0
906,2.0,1.536,10.1,3535.0
907,2.0,1.536,10.1,3535.0
909,2.0,1.536,10.1,3535.0
1001,3.0,1.382,9.1,3185.0
1002,3.0,1.382,9.1,3185.0
1003,3.0,1.382,9.1,3185.0
1004,3.0,1.382,9.1,3185.0
1005,3.0,1.382,9.1,3185.0
1006,3.0,1.382,9.1,3185.0
1007,3.0,1.382,9.1,3185.0
1008,3.0,1.382,9.1,3185.0
1009,3.0,1.382,9.1,3185.0
1010,3.0,1.382,9.1,3185.0
1020,3.0,1.382,9.1,3185.0
1021,3.0,1.382,9.1,3185.0
1022,3.0,1.382,9.1,3185.0
1023,3.0,1.382,9.1,3185.0
1025,3.0,1.382,9.1,3185.0
1026,3.0,1.382,9.1,3185.0
1027,3.0,1.382,9.1,3185.0
1028,3.0,1.382,9.1,3185.0
1029,3.0,1.382,9.1,3185.0
1030,3.0,1.382,9.1,3185.0
1031,3.0,1.382,9.1,3185.0
1032,3.0,1.382,9.1,3185.0
1033,3.0,1.382,9.1,3185.0
1034,3.0,1.382,9.1,3185.0
1035,3.0,1.382,9.1,3185.0
1036,3.0,1.382,9.1,3185.0
1037,3.0,1.382,9.1,3185.0
1038,3.0,1.382,9.1,3185.0
1039,3.0,1.382,9.1,3185.0
1040,3.0,1.382,9.1,3185.0
1041,3.0,1.382,9.1,3185.0
1042,3.0,1.382,9.1,3185.0
1043,3.0,1.382,9.1,3185.0
1044,3.0,1.382,9.1,3185.0
1045,3.0,1.382,9.1,3185.0
1046,3.0,1.382,9.1,3185.0
1100,3.0,1.382,9.1,3185.0
1101,3.0,1.382,9.1,3185.0
1105,3.0,1.382,9.1,3185.0
1106,3.0,1.382,9.1,3185.0
1107,3.0,1.382,9.1,3185.0
1108,3.0,1.382,9.1,3185.0
1109,3.0,1.382,9.1,3185.0
1110,3.0,1.382,9.1,3185.0
1112,3.0,1.382,9.1,3185.0
1113,3.0,1.382,9.1,3185.0
1114,3.0,1.382,9.1,3185.0
1115,3.0,1.382,9.1,3185.0
1116,3.0,1.382,9.1,3185.0
1117,3.0,1.382,9.1,3185.0
1118,3.0,1.382,9.1,3185.0
1119,3.0,1.382,9.1,3185.0
1120,3.0,1.382,9.1,3185.0
1121,3.0,1.382,9.1,3185.0
1122,3.0,1.382,9.1,3185.0
1123,3.0,1.382,9.1,3185.0
1124,3.0,1.382,9.1,3185.0
1125,3.0,1.382,9.1,3185.0
